code,korname,engname
97520,엠씨넥스보통주,"MCNEX Co.,Ltd."
14440,영보화학보통주,YoungboChemical
111770,영원무역보통주,Youngone Corporation
9970,영원무역홀딩스보통주,YoungoneHoldings
3520,영진약품보통주,YUNGJIN PHARM
670,영풍보통주,Youngpoong
6740,영풍제지보통주,YoungpoongPaperMfg
12280,영화금속보통주,YeonghwaMetal
12160,영흥보통주,YOUNGWIRE
15360,예스코홀딩스보통주,Yesco Holdings
7310,오뚜기보통주,Ottogi
2630,오리엔트바이오보통주,ORIENTBIO
271560,오리온보통주,ORION
1800,오리온홀딩스보통주,ORION Holdings
37270,와이지플러스보통주,YG PLUS
11690,와이투솔루션보통주,Y2 Solution
316140,우리금융지주보통주,WooriFinancialGroup
33660,우리금융캐피탈보통주,WOORI FINANCIAL CAPITAL
118000,우리들휴브레인보통주,WOORIDUL HUEBRAIN
10050,우리종합금융보통주,Woori Investment Bank
6980,우성사료보통주,WoosungFeed
17370,우신시스템보통주,WooshinSystems
105840,우진보통주,WOOJIN INC
10400,우진아이엔에스보통주,WOOJINI&S
49800,우진플라임 보통주,"WOOJIN PLAIMM CO., LTD"
16880,웅진보통주,WOONGJIN
